[s],CH1[V]
-9.9800E-04,-5.459897488E-03
-9.9600E-04,-6.202085109E-03
-9.9400E-04,-6.944272731E-03
-9.9200E-04,-6.202085109E-03
-9.9000E-04,5.361972452E-04
-9.8800E-04,-6.221616362E-03
-9.8600E-04,3.583072745E-03
-9.8400E-04,1.336978626E-03
-9.8200E-04,-7.725522859E-03
-9.8000E-04,6.551823231E-03
-9.7800E-04,-1.473966168E-04
-9.7600E-04,6.512760725E-03
-9.7400E-04,-1.709896873E-03
-9.7200E-04,-7.725522859E-03
-9.7000E-04,-2.452084495E-03
-9.6800E-04,-3.252865876E-03
-9.6600E-04,6.610416991E-03
-9.6400E-04,5.166659920E-04
-9.6200E-04,-3.916928485E-03
-9.6000E-04,-5.420834981E-03
-9.5800E-04,7.313542106E-03
-9.5600E-04,6.551823231E-03
-9.5400E-04,2.098697501E-03
-9.5200E-04,-3.936459738E-03
-9.5000E-04,-1.690365620E-03
-9.4800E-04,5.106510494E-03
-9.4600E-04,-1.864591232E-04
-9.4400E-04,5.047916735E-03
-9.4200E-04,-5.459897488E-03
-9.4000E-04,2.801822617E-03
-9.3800E-04,5.848698116E-03
-9.3600E-04,1.981509982E-03
-9.3400E-04,7.313542106E-03
-9.3200E-04,-7.705991606E-03
-9.3000E-04,-9.286467449E-04
-9.2800E-04,-9.677092513E-04
-9.2600E-04,1.336978626E-03
-9.2400E-04,-1.729428126E-03
-9.2200E-04,-9.286467449E-04
-9.2000E-04,-2.645841360E-04
-9.1800E-04,-9.286467449E-04
-9.1600E-04,-3.174740863E-03
-9.1400E-04,7.352604613E-03
-9.1200E-04,-8.895842385E-04
-9.1000E-04,4.305729113E-03
-9.0800E-04,-6.924741478E-03
-9.0600E-04,-3.233334623E-03
-9.0400E-04,4.305729113E-03
-9.0200E-04,1.356509880E-03
-9.0000E-04,3.563541491E-03
-8.9800E-04,9.579167477E-03
-8.9600E-04,-7.745054112E-03
-8.9400E-04,-3.155209610E-03
-8.9200E-04,2.079166248E-03
-8.9000E-04,-2.059903764E-04
-8.8800E-04,-9.481779981E-04
-8.8600E-04,-6.846616465E-03
-8.8400E-04,-2.452084495E-03
-8.8200E-04,6.512760725E-03
-8.8000E-04,-9.481779981E-04
-8.7800E-04,-4.678647360E-03
-8.7600E-04,5.868229369E-03
-8.7400E-04,5.067447988E-03
-8.7200E-04,8.797917349E-03
-8.7000E-04,4.325260366E-03
-8.6800E-04,-8.448179227E-03
-8.6600E-04,3.504947732E-03
-8.6400E-04,-1.690365620E-03
-8.6200E-04,7.274479600E-03
-8.6000E-04,5.790104356E-03
-8.5800E-04,4.344791620E-03
-8.5600E-04,-8.448179227E-03
-8.5400E-04,-1.651303113E-03
-8.5200E-04,-9.091154917E-04
-8.5000E-04,5.086979241E-03
-8.4800E-04,-2.393490735E-03
-8.4600E-04,1.336978626E-03
-8.4400E-04,-8.350522961E-03
-8.4200E-04,4.971347388E-04
-8.4000E-04,4.286197860E-03
-8.3800E-04,-9.872405045E-04
-8.3600E-04,-7.745054112E-03
-8.3400E-04,-1.438568020E-02
-8.3200E-04,-1.670834367E-03
-8.3000E-04,5.126041748E-03
-8.2800E-04,5.361972452E-04
-8.2600E-04,-9.209898102E-03
-8.2400E-04,-1.083341104E-04
-8.2200E-04,5.752597516E-04
-8.2000E-04,6.571354484E-03
-8.1800E-04,7.294010853E-03
-8.1600E-04,3.583072745E-03
-8.1400E-04,-4.717709866E-03
-8.1200E-04,-3.213803369E-03
-8.1000E-04,6.590885738E-03
-8.0800E-04,5.028385482E-03
-8.0600E-04,7.254948347E-03
-8.0400E-04,-4.698178613E-03
-8.0200E-04,-1.709896873E-03
-8.0000E-04,2.118228755E-03
-7.9800E-04,5.047916735E-03
-7.9600E-04,-2.413021988E-03
-7.9400E-04,-1.690365620E-03
-7.9200E-04,-1.473966168E-04
-7.9000E-04,6.551823231E-03
-7.8800E-04,1.030182385E-02
-7.8600E-04,-4.698178613E-03
-7.8400E-04,-6.163022603E-03
-7.8200E-04,-3.252865876E-03
-7.8000E-04,3.602603998E-03
-7.7800E-04,2.801822617E-03
-7.7600E-04,-1.709896873E-03
-7.7400E-04,2.840885123E-03
-7.7200E-04,-1.670834367E-03
-7.7000E-04,4.989322975E-03
-7.6800E-04,5.557284984E-04
-7.6600E-04,-7.686460353E-03
-7.6400E-04,5.752597516E-04
-7.6200E-04,3.583072745E-03
-7.6000E-04,-5.420834981E-03
-7.5800E-04,-2.452084495E-03
-7.5600E-04,6.143222580E-04
-7.5400E-04,4.266666607E-03
-7.5200E-04,-3.916928485E-03
-7.5000E-04,-2.059903764E-04
-7.4800E-04,2.801822617E-03
-7.4600E-04,5.047916735E-03
-7.4400E-04,-1.729428126E-03
-7.4200E-04,-1.669278700E-04
-7.4000E-04,5.047916735E-03
-7.3800E-04,3.504947732E-03
-7.3600E-04,2.762760110E-03
-7.3400E-04,-1.669278700E-04
-7.3200E-04,-9.481779981E-04
-7.3000E-04,1.297916120E-03
-7.2800E-04,3.563541491E-03
-7.2600E-04,-5.440366234E-03
-7.2400E-04,-7.627866593E-03
-7.2200E-04,-1.669278700E-04
-7.2000E-04,3.544010238E-03
-7.1800E-04,-8.428647974E-03
-7.1600E-04,-1.368255509E-02
-7.1400E-04,-3.955990991E-03
-7.1200E-04,-1.864591232E-04
-7.1000E-04,-6.202085109E-03
-7.0800E-04,8.114323487E-03
-7.0600E-04,4.286197860E-03
-7.0400E-04,5.752597516E-04
-7.0200E-04,5.166659920E-04
-7.0000E-04,-9.286467449E-04
-6.9800E-04,-3.233334623E-03
-6.9600E-04,-6.885678971E-03
-6.9400E-04,-3.233334623E-03
-6.9200E-04,-3.955990991E-03
-6.9000E-04,-3.213803369E-03
-6.8800E-04,-1.651303113E-03
-6.8600E-04,-1.864591232E-04
-6.8400E-04,-2.059903764E-04
-6.8200E-04,2.040103742E-03
-6.8000E-04,-5.459897488E-03
-6.7800E-04,5.848698116E-03
-6.7600E-04,4.305729113E-03
-6.7400E-04,-7.666929099E-03
-6.7200E-04,-4.698178613E-03
-6.7000E-04,-4.717709866E-03
-6.6800E-04,-5.459897488E-03
-6.6600E-04,2.098697501E-03
-6.6400E-04,-2.471615748E-03
-6.6200E-04,-1.067474209E-02
-6.6000E-04,5.166659920E-04
-6.5800E-04,-3.155209610E-03
-6.5600E-04,-4.659116106E-03
-6.5400E-04,1.317447373E-03
-6.5200E-04,-2.373959482E-03
-6.5000E-04,5.361972452E-04
-6.4800E-04,-5.479428741E-03
-6.4600E-04,2.059634995E-03
-6.4400E-04,-2.432553241E-03
-6.4200E-04,-3.877865978E-03
-6.4000E-04,-5.479428741E-03
-6.3800E-04,2.079166248E-03
-6.3600E-04,-8.467710481E-03
-6.3400E-04,6.338535112E-04
-6.3200E-04,-2.393490735E-03
-6.3000E-04,-5.381772475E-03
-6.2800E-04,-5.440366234E-03
-6.2600E-04,-8.895842385E-04
-6.2400E-04,1.317447373E-03
-6.2200E-04,-3.916928485E-03
-6.2000E-04,1.239322360E-03
-6.1800E-04,-9.170835596E-03
-6.1600E-04,-8.428647974E-03
-6.1400E-04,-3.252865876E-03
