[s],CH3[V]
-9.9800E-04,-4.669779392E-02
-9.9600E-04,-4.525248118E-02
-9.9400E-04,-4.304544957E-02
-9.9200E-04,-4.993998195E-02
-9.9000E-04,-4.761576282E-02
-9.8800E-04,-4.827982543E-02
-9.8600E-04,-4.079935545E-02
-9.8400E-04,-4.310404333E-02
-9.8200E-04,-4.831888794E-02
-9.8000E-04,-4.376810594E-02
-9.7800E-04,-4.685404395E-02
-9.7600E-04,-3.859232384E-02
-9.7400E-04,-3.790872998E-02
-9.7200E-04,-4.675638768E-02
-9.7000E-04,-4.460794983E-02
-9.6800E-04,-4.232279320E-02
-9.6600E-04,-4.308451208E-02
-9.6400E-04,-4.158060558E-02
-9.6200E-04,-5.060404456E-02
-9.6000E-04,-3.939310522E-02
-9.5800E-04,-3.404154185E-02
-9.5600E-04,-4.011576159E-02
-9.5400E-04,-4.984232569E-02
-9.5200E-04,-3.779154246E-02
-9.5000E-04,-4.306498082E-02
-9.4800E-04,-3.861185509E-02
-9.4600E-04,-4.605326256E-02
-9.4400E-04,-4.988138819E-02
-9.4200E-04,-4.833841919E-02
-9.4000E-04,-4.681498144E-02
-9.3800E-04,-4.378763719E-02
-9.3600E-04,-4.611185632E-02
-9.3400E-04,-3.931498021E-02
-9.3200E-04,-5.060404456E-02
-9.3000E-04,-4.910013806E-02
-9.2800E-04,-4.011576159E-02
-9.2600E-04,-4.451029356E-02
-9.2400E-04,-3.704935484E-02
-9.2200E-04,-4.015482410E-02
-9.2000E-04,-4.609232507E-02
-9.1800E-04,-4.226419944E-02
-9.1600E-04,-4.915873182E-02
-9.1400E-04,-4.911966932E-02
-9.1200E-04,-4.232279320E-02
-9.1000E-04,-4.613138758E-02
-9.0800E-04,-4.536966870E-02
-9.0600E-04,-4.013529284E-02
-9.0400E-04,-4.011576159E-02
-9.0200E-04,-4.535013745E-02
-9.0000E-04,-4.915873182E-02
-8.9800E-04,-5.060404456E-02
-8.9600E-04,-4.525248118E-02
-8.9400E-04,-4.607279382E-02
-8.9200E-04,-4.603373131E-02
-8.9000E-04,-4.376810594E-02
-8.8800E-04,-4.609232507E-02
-8.8600E-04,-4.757670031E-02
-8.8400E-04,-4.386576221E-02
-8.8200E-04,-4.609232507E-02
-8.8000E-04,-3.931498021E-02
-8.7800E-04,-4.531107494E-02
-8.7600E-04,-4.769388783E-02
-8.7400E-04,-4.085794921E-02
-8.7200E-04,-5.210795106E-02
-8.7000E-04,-4.376810594E-02
-8.6800E-04,-4.609232507E-02
-8.6600E-04,-4.165873059E-02
-8.6400E-04,-4.390482471E-02
-8.6200E-04,-4.306498082E-02
-8.6000E-04,-4.382669970E-02
