[s],CH2[V]
-6.6400E-04,-2.399877415E-02
-6.6200E-04,-2.137182059E-02
-6.6000E-04,-1.651830417E-02
-6.5800E-04,-2.249486765E-02
-6.5600E-04,-2.025853916E-02
-6.5400E-04,-2.323705527E-02
-6.5200E-04,-2.024877353E-02
-6.5000E-04,-1.496556954E-02
-6.4800E-04,-2.062963297E-02
-6.4600E-04,-1.985814847E-02
-6.4400E-04,-2.736791532E-02
-6.4200E-04,-2.175268003E-02
-6.4000E-04,-1.759252310E-02
-6.3800E-04,-2.175268003E-02
-6.3600E-04,-2.362768034E-02
-6.3400E-04,-2.366674284E-02
-6.3200E-04,-2.327611778E-02
-6.3000E-04,-2.363744596E-02
-6.2800E-04,-1.911596085E-02
-6.2600E-04,-2.437963358E-02
-6.2400E-04,-2.549291502E-02
-6.2200E-04,-2.249486765E-02
-6.2000E-04,-2.250463328E-02
-6.1800E-04,-2.589330571E-02
-6.1600E-04,-2.289525834E-02
-6.1400E-04,-2.588354008E-02
-6.1200E-04,-1.946752340E-02
-6.1000E-04,-2.436010233E-02
-6.0800E-04,-2.288549271E-02
-6.0600E-04,-1.911596085E-02
-6.0400E-04,-1.835424197E-02
-6.0200E-04,-1.838353885E-02
-6.0000E-04,-2.213353947E-02
-5.9800E-04,-2.289525834E-02
-5.9600E-04,-2.064916422E-02
-5.9400E-04,-1.761205435E-02
-5.9200E-04,-2.026830479E-02
-5.9000E-04,-2.328588341E-02
-5.8800E-04,-1.985814847E-02
-5.8600E-04,-2.063939860E-02
-5.8400E-04,-1.839330448E-02
-5.8200E-04,-1.985814847E-02
-5.8000E-04,-2.661596208E-02
-5.7800E-04,-2.358861783E-02
-5.7600E-04,-1.949682028E-02
-5.7400E-04,-2.776830601E-02
-5.7200E-04,-2.512182121E-02
-5.7000E-04,-2.399877415E-02
-5.6800E-04,-2.740697783E-02
-5.6600E-04,-2.137182059E-02
-5.6400E-04,-1.946752340E-02
-5.6200E-04,-2.213353947E-02
-5.6000E-04,-2.363744596E-02
-5.5800E-04,-2.439916484E-02
-5.5600E-04,-2.137182059E-02
-5.5400E-04,-2.063939860E-02
-5.5200E-04,-2.253393016E-02
-5.5000E-04,-2.139135184E-02
-5.4800E-04,-2.400853977E-02
-5.4600E-04,-2.438939921E-02
-5.4400E-04,-2.289525834E-02
-5.4200E-04,-2.360814908E-02
-5.4000E-04,-2.359838346E-02
-5.3800E-04,-2.702611839E-02
-5.3600E-04,-2.624486827E-02
-5.3400E-04,-2.587377445E-02
-5.3200E-04,-2.213353947E-02
-5.3000E-04,-2.927221251E-02
-5.2800E-04,-3.186010356E-02
-5.2600E-04,-2.627416515E-02
-5.2400E-04,-2.963354070E-02
-5.2200E-04,-2.626439952E-02
-5.2000E-04,-2.850072801E-02
-5.1800E-04,-2.889135307E-02
-5.1600E-04,-2.586400883E-02
-5.1400E-04,-2.551244627E-02
-5.1200E-04,-2.924291563E-02
-5.1000E-04,-2.698705589E-02
-5.0800E-04,-2.172338315E-02
-5.0600E-04,-2.585424320E-02
-5.0400E-04,-2.665502458E-02
-5.0200E-04,-2.552221190E-02
-5.0000E-04,-2.249486765E-02
-4.9800E-04,-2.627416515E-02
-4.9600E-04,-2.773900914E-02
-4.9400E-04,-2.248510202E-02
-4.9200E-04,-2.776830601E-02
-4.9000E-04,-2.551244627E-02
-4.8800E-04,-2.213353947E-02
-4.8600E-04,-3.075658775E-02
-4.8400E-04,-3.151830663E-02
-4.8200E-04,-2.365697722E-02
-4.8000E-04,-2.588354008E-02
-4.7800E-04,-2.510228995E-02
-4.7600E-04,-3.225072862E-02
-4.7400E-04,-2.925268126E-02
-4.7200E-04,-2.735814970E-02
-4.7000E-04,-2.811986857E-02
-4.6800E-04,-2.850072801E-02
-4.6600E-04,-2.360814908E-02
-4.6400E-04,-2.624486827E-02
-4.6200E-04,-3.002416576E-02
-4.6000E-04,-3.072729087E-02
-4.5800E-04,-2.928197814E-02
-4.5600E-04,-2.663549333E-02
-4.5400E-04,-2.548314939E-02
-4.5200E-04,-2.997533763E-02
-4.5000E-04,-2.886205619E-02
-4.4800E-04,-2.737768095E-02
-4.4600E-04,-3.038549394E-02
-4.4400E-04,-2.777807164E-02
-4.4200E-04,-3.227025988E-02
-4.4000E-04,-3.189916607E-02
-4.3800E-04,-3.150854100E-02
-4.3600E-04,-3.226049425E-02
-4.3400E-04,-2.999486888E-02
-4.3200E-04,-2.891088433E-02
-4.3000E-04,-3.641088556E-02
-4.2800E-04,-3.339330694E-02
-4.2600E-04,-3.639135430E-02
-4.2400E-04,-3.338354131E-02
-4.2200E-04,-3.378393200E-02
-4.2000E-04,-3.226049425E-02
-4.1800E-04,-3.109838469E-02
-4.1600E-04,-3.040502520E-02
-4.1400E-04,-2.886205619E-02
-4.1200E-04,-2.961400944E-02
-4.1000E-04,-2.963354070E-02
-4.0800E-04,-3.036596269E-02
-4.0600E-04,-3.187963481E-02
-4.0400E-04,-2.889135307E-02
-4.0200E-04,-2.851049364E-02
-4.0000E-04,-2.849096238E-02
-3.9800E-04,-2.624486827E-02
-3.9600E-04,-3.038549394E-02
-3.9400E-04,-2.888158745E-02
-3.9200E-04,-3.075658775E-02
-3.9000E-04,-2.438939921E-02
-3.8800E-04,-2.963354070E-02
-3.8600E-04,-3.411596331E-02
-3.8400E-04,-3.341283819E-02
-3.8200E-04,-3.001440013E-02
-3.8000E-04,-2.926244688E-02
-3.7800E-04,-3.003393139E-02
-3.7600E-04,-2.586400883E-02
-3.7400E-04,-2.404760228E-02
-3.7200E-04,-3.035619706E-02
-3.7000E-04,-2.963354070E-02
-3.6800E-04,-2.551244627E-02
-3.6600E-04,-2.924291563E-02
-3.6400E-04,-3.150854100E-02
-3.6200E-04,-2.848119676E-02
-3.6000E-04,-2.736791532E-02
-3.5800E-04,-2.961400944E-02
-3.5600E-04,-2.666479021E-02
-3.5400E-04,-2.777807164E-02
-3.5200E-04,-2.248510202E-02
-3.5000E-04,-3.150854100E-02
-3.4800E-04,-2.740697783E-02
-3.4600E-04,-3.040502520E-02
-3.4400E-04,-2.664525896E-02
-3.4200E-04,-2.775854039E-02
-3.4000E-04,-3.187963481E-02
-3.3800E-04,-2.960424382E-02
-3.3600E-04,-2.962377507E-02
-3.3400E-04,-3.038549394E-02
-3.3200E-04,-2.850072801E-02
-3.3000E-04,-2.926244688E-02
-3.2800E-04,-2.812963420E-02
-3.2600E-04,-3.340307256E-02
-3.2400E-04,-2.663549333E-02
-3.2200E-04,-2.811986857E-02
-3.2000E-04,-3.074682213E-02
-3.1800E-04,-2.587377445E-02
-3.1600E-04,-2.773900914E-02
-3.1400E-04,-2.810033732E-02
-3.1200E-04,-2.588354008E-02
-3.1000E-04,-2.324682090E-02
-3.0800E-04,-2.399877415E-02
-3.0600E-04,-2.586400883E-02
-3.0400E-04,-2.511205558E-02
-3.0200E-04,-2.512182121E-02
-3.0000E-04,-2.550268064E-02
-2.9800E-04,-2.139135184E-02
-2.9600E-04,-1.912572647E-02
-2.9400E-04,-2.512182121E-02
-2.9200E-04,-2.736791532E-02
-2.9000E-04,-2.475072740E-02
-2.8800E-04,-2.326635215E-02
-2.8600E-04,-2.249486765E-02
-2.8400E-04,-2.401830540E-02
-2.8200E-04,-2.435033670E-02
-2.8000E-04,-2.552221190E-02
-2.7800E-04,-2.250463328E-02
-2.7600E-04,-1.875463266E-02
-2.7400E-04,-2.513158683E-02
-2.7200E-04,-2.626439952E-02
-2.7000E-04,-2.211400821E-02
-2.6800E-04,-2.323705527E-02
-2.6600E-04,-2.061986734E-02
-2.6400E-04,-1.952611716E-02
-2.6200E-04,-2.099096115E-02
-2.6000E-04,-2.326635215E-02
-2.5800E-04,-1.760228872E-02
-2.5600E-04,-1.609838223E-02
-2.5400E-04,-1.836400760E-02
-2.5200E-04,-2.248510202E-02
-2.5000E-04,-2.360814908E-02
-2.4800E-04,-2.851049364E-02
-2.4600E-04,-2.286596146E-02
-2.4400E-04,-2.775854039E-02
-2.4200E-04,-2.474096177E-02
-2.4000E-04,-2.396947727E-02
-2.3800E-04,-2.214330509E-02
-2.3600E-04,-2.362768034E-02
-2.3400E-04,-2.399877415E-02
-2.3200E-04,-2.511205558E-02
-2.3000E-04,-2.924291563E-02
-2.2800E-04,-2.586400883E-02
-2.2600E-04,-2.327611778E-02
-2.2400E-04,-2.551244627E-02
-2.2200E-04,-2.252416453E-02
-2.2000E-04,-2.104955491E-02
-2.1800E-04,-1.686986673E-02
-2.1600E-04,-2.326635215E-02
-2.1400E-04,-2.285619583E-02
-2.1200E-04,-1.647924166E-02
-2.1000E-04,-1.838353885E-02
-2.0800E-04,-1.913549210E-02
-2.0600E-04,-2.285619583E-02
-2.0400E-04,-2.137182059E-02
-2.0200E-04,-1.838353885E-02
-2.0000E-04,-1.686986673E-02
-1.9800E-04,-1.724096054E-02
-1.9600E-04,-2.248510202E-02
-1.9400E-04,-1.874486704E-02
-1.9200E-04,-1.725072617E-02
-1.9000E-04,-2.100072678E-02
-1.8800E-04,-2.214330509E-02
-1.8600E-04,-2.174291440E-02
-1.8400E-04,-1.608861660E-02
-1.8200E-04,-2.176244566E-02
-1.8000E-04,-2.250463328E-02
-1.7800E-04,-2.213353947E-02
-1.7600E-04,-1.907689834E-02
