[s],CH1[V]
-1.6980E-03,-2.291153084E-03
-1.6960E-03,-1.399581893E-03
-1.6940E-03,-1.647747065E-03
-1.6920E-03,4.699633961E-04
-1.6900E-03,-4.011991612E-04
-1.6880E-03,-4.664206578E-05
-1.6860E-03,-2.199447747E-03
-1.6840E-03,-1.788757372E-03
-1.6820E-03,5.645014472E-05
-1.6800E-03,-3.385437321E-03
-1.6780E-03,-2.066314791E-03
-1.6760E-03,-2.997215517E-03
-1.6740E-03,-2.408207089E-03
-1.6720E-03,-1.852844297E-03
-1.6700E-03,-9.287718796E-04
-1.6680E-03,-3.215206428E-03
-1.6660E-03,-1.022003096E-03
-1.6640E-03,-2.508037733E-03
-1.6620E-03,-1.950958326E-03
-1.6600E-03,-1.667278318E-03
-1.6580E-03,-2.332523483E-03
-1.6560E-03,-1.696174654E-03
-1.6540E-03,-2.323444502E-03
-1.6520E-03,-4.605558604E-04
-1.6500E-03,-2.903850786E-03
-1.6480E-03,-1.954467848E-03
-1.6460E-03,-9.482077653E-04
-1.6440E-03,-9.635619243E-04
-1.6420E-03,-7.891730102E-04
-1.6400E-03,-2.697456557E-03
-1.6380E-03,-1.567342469E-04
-1.6360E-03,-1.242320973E-03
-1.6340E-03,-2.144668685E-03
-1.6320E-03,-2.908561938E-03
-1.6300E-03,-3.373440096E-03
-1.6280E-03,-7.788542524E-04
-1.6260E-03,-3.422401744E-03
-1.6240E-03,-2.034710019E-03
-1.6220E-03,-1.280277217E-03
-1.6200E-03,-3.063724775E-03
-1.6180E-03,-1.440361014E-03
-1.6160E-03,-3.629463545E-03
-1.6140E-03,-2.551725260E-04
-1.6120E-03,-1.443965903E-03
-1.6100E-03,-2.729500019E-03
-1.6080E-03,-2.075603580E-03
-1.6060E-03,-6.498602433E-04
-1.6040E-03,-2.467315833E-03
-1.6020E-03,-3.178127564E-03
-1.6000E-03,-2.762859552E-03
-1.5980E-03,-2.066505526E-03
-1.5960E-03,-7.639960042E-04
-1.5940E-03,-1.826484734E-03
-1.5920E-03,-5.450132717E-04
-1.5900E-03,-1.378162365E-03
-1.5880E-03,-3.193310062E-03
-1.5860E-03,-8.582953360E-04
-1.5840E-03,-1.630695365E-03
-1.5820E-03,-1.972053606E-03
-1.5800E-03,-8.762434896E-04
-1.5780E-03,-2.657612037E-03
-1.5760E-03,-1.851528226E-03
-1.5740E-03,-1.162307684E-03
-1.5720E-03,-3.240612316E-03
-1.5700E-03,-3.275688463E-03
-1.5680E-03,-4.097832152E-03
-1.5660E-03,-1.880043093E-03
-1.5640E-03,-1.673038512E-03
-1.5620E-03,-3.070171614E-03
-1.5600E-03,-7.341078462E-04
-1.5580E-03,-3.147552761E-03
-1.5560E-03,-3.345115965E-03
-1.5540E-03,-4.707897713E-03
-1.5520E-03,-1.459243768E-03
-1.5500E-03,-2.539451770E-03
-1.5480E-03,-8.090857332E-04
-1.5460E-03,-9.663085068E-04
-1.5440E-03,-1.270187341E-03
-1.5420E-03,-8.797911586E-04
-1.5400E-03,-4.161861857E-03
-1.5380E-03,-2.047985167E-03
-1.5360E-03,-9.991721291E-04
-1.5340E-03,-7.305983241E-04
-1.5320E-03,-1.017787855E-03
-1.5300E-03,-3.118274955E-03
-1.5280E-03,-2.839973670E-03
-1.5260E-03,-4.507950323E-03
-1.5240E-03,-2.242019775E-03
-1.5220E-03,-3.304680167E-03
-1.5200E-03,-3.411205606E-03
-1.5180E-03,-1.770332381E-03
-1.5160E-03,-3.319919885E-03
-1.5140E-03,-2.239654663E-03
-1.5120E-03,-3.716953642E-03
-1.5100E-03,-3.125828056E-03
-1.5080E-03,-1.442382804E-03
-1.5060E-03,-3.149822506E-03
-1.5040E-03,-1.641452813E-03
-1.5020E-03,-2.771766872E-03
-1.5000E-03,-1.743457835E-03
-1.4980E-03,4.335330312E-04
-1.4960E-03,-1.217868759E-03
-1.4940E-03,-2.066677187E-03
-1.4920E-03,-2.026107875E-03
-1.4900E-03,-1.683280975E-03
-1.4880E-03,-2.008693779E-03
-1.4860E-03,-6.356025092E-05
-1.4840E-03,-1.783626603E-03
-1.4820E-03,-2.937801597E-03
-1.4800E-03,1.329929815E-03
-1.4780E-03,-3.009804020E-03
-1.4760E-03,-1.366832712E-03
-1.4740E-03,-2.261856205E-03
-1.4720E-03,-3.467357959E-03
-1.4700E-03,-8.063010038E-04
-1.4680E-03,-1.378963451E-03
-1.4660E-03,-1.934021068E-03
-1.4640E-03,-2.172325245E-03
-1.4620E-03,-2.390125421E-03
-1.4600E-03,-3.881328974E-03
