[s],CH3[V]
-1.6980E-03,-5.426602934E-02
-1.6960E-03,-5.504434215E-02
-1.6940E-03,-5.389451591E-02
-1.6920E-03,-5.497991190E-02
-1.6900E-03,-5.327935773E-02
-1.6880E-03,-5.295137000E-02
-1.6860E-03,-5.395293801E-02
-1.6840E-03,-5.324771481E-02
-1.6820E-03,-5.543210619E-02
-1.6800E-03,-5.359132372E-02
-1.6780E-03,-5.507535564E-02
-1.6760E-03,-5.662732733E-02
-1.6740E-03,-5.323176937E-02
-1.6720E-03,-5.346694550E-02
-1.6700E-03,-5.407640071E-02
-1.6680E-03,-5.414277645E-02
-1.6660E-03,-5.339234908E-02
-1.6640E-03,-5.438287353E-02
-1.6620E-03,-5.425374601E-02
-1.6600E-03,-5.199103888E-02
-1.6580E-03,-5.430450057E-02
-1.6560E-03,-5.509305584E-02
-1.6540E-03,-5.539563768E-02
-1.6520E-03,-5.401458353E-02
-1.6500E-03,-5.379745092E-02
-1.6480E-03,-5.424754713E-02
-1.6460E-03,-5.512399304E-02
-1.6440E-03,-5.475808722E-02
-1.6420E-03,-5.502294169E-02
-1.6400E-03,-5.447703935E-02
-1.6380E-03,-5.620641357E-02
-1.6360E-03,-5.438291168E-02
-1.6340E-03,-5.476857764E-02
-1.6320E-03,-5.442254639E-02
-1.6300E-03,-5.551049823E-02
-1.6280E-03,-5.553409214E-02
-1.6260E-03,-5.446632005E-02
-1.6240E-03,-5.536475770E-02
-1.6220E-03,-5.474216086E-02
-1.6200E-03,-5.456309894E-02
-1.6180E-03,-5.404229731E-02
-1.6160E-03,-5.515359510E-02
-1.6140E-03,-5.375463094E-02
-1.6120E-03,-5.429063414E-02
-1.6100E-03,-5.442092515E-02
-1.6080E-03,-5.332105238E-02
-1.6060E-03,-5.406922907E-02
-1.6040E-03,-5.402938455E-02
-1.6020E-03,-5.482997520E-02
-1.6000E-03,-5.400683969E-02
-1.5980E-03,-5.477031333E-02
-1.5960E-03,-5.551549549E-02
-1.5940E-03,-5.462434391E-02
-1.5920E-03,-5.394811242E-02
-1.5900E-03,-5.478421790E-02
-1.5880E-03,-5.425649259E-02
-1.5860E-03,-5.555516834E-02
-1.5840E-03,-5.429017638E-02
-1.5820E-03,-5.471820455E-02
-1.5800E-03,-5.171020082E-02
-1.5780E-03,-5.379378881E-02
-1.5760E-03,-5.515761960E-02
-1.5740E-03,-5.416387173E-02
-1.5720E-03,-5.542720430E-02
-1.5700E-03,-5.425731275E-02
-1.5680E-03,-5.510491955E-02
-1.5660E-03,-5.507388698E-02
-1.5640E-03,-5.440351105E-02
-1.5620E-03,-5.635676988E-02
-1.5600E-03,-5.526229491E-02
-1.5580E-03,-5.465028386E-02
-1.5560E-03,-5.486472710E-02
-1.5540E-03,-5.369741047E-02
-1.5520E-03,-5.406049342E-02
-1.5500E-03,-5.462079624E-02
-1.5480E-03,-5.482995613E-02
-1.5460E-03,-5.570663092E-02
-1.5440E-03,-5.461183170E-02
-1.5420E-03,-5.273191043E-02
-1.5400E-03,-5.523444762E-02
-1.5380E-03,-5.576964973E-02
-1.5360E-03,-5.487058266E-02
-1.5340E-03,-5.524768462E-02
-1.5320E-03,-5.491742715E-02
-1.5300E-03,-5.468705754E-02
-1.5280E-03,-5.236178937E-02
-1.5260E-03,-5.461152653E-02
-1.5240E-03,-5.315221385E-02
-1.5220E-03,-5.397828668E-02
-1.5200E-03,-5.421893689E-02
-1.5180E-03,-5.277976582E-02
-1.5160E-03,-5.571139930E-02
-1.5140E-03,-5.551086063E-02
-1.5120E-03,-5.322751598E-02
-1.5100E-03,-5.508884060E-02
-1.5080E-03,-5.405477137E-02
-1.5060E-03,-5.512448895E-02
-1.5040E-03,-5.547998065E-02
-1.5020E-03,-5.447225191E-02
-1.5000E-03,-5.222051204E-02
-1.4980E-03,-5.631248124E-02
-1.4960E-03,-5.510820019E-02
-1.4940E-03,-5.301866127E-02
-1.4920E-03,-5.477830512E-02
-1.4900E-03,-5.446464158E-02
-1.4880E-03,-5.344564041E-02
-1.4860E-03,-5.320169048E-02
-1.4840E-03,-5.358323656E-02
-1.4820E-03,-5.401441187E-02
-1.4800E-03,-5.470079046E-02
-1.4780E-03,-5.420554730E-02
-1.4760E-03,-5.515199292E-02
-1.4740E-03,-5.539748781E-02
-1.4720E-03,-5.484218223E-02
-1.4700E-03,-5.541967027E-02
-1.4680E-03,-5.412953945E-02
-1.4660E-03,-5.417817685E-02
-1.4640E-03,-5.426971052E-02
-1.4620E-03,-5.520295729E-02
-1.4600E-03,-5.454225161E-02
-1.4580E-03,-5.236098829E-02
-1.4560E-03,-5.434255218E-02
-1.4540E-03,-5.554336185E-02
-1.4520E-03,-5.480321510E-02
-1.4500E-03,-5.483398063E-02
-1.4480E-03,-5.366220081E-02
-1.4460E-03,-5.630574830E-02
-1.4440E-03,-5.354930483E-02
-1.4420E-03,-5.566676733E-02
-1.4400E-03,-5.413043590E-02
-1.4380E-03,-5.485253914E-02
-1.4360E-03,-5.387097922E-02
-1.4340E-03,-5.426555250E-02
-1.4320E-03,-5.453742602E-02
-1.4300E-03,-5.465039830E-02
-1.4280E-03,-5.449576952E-02
-1.4260E-03,-5.447568513E-02
-1.4240E-03,-5.400773614E-02
-1.4220E-03,-5.510247814E-02
-1.4200E-03,-5.418874356E-02
-1.4180E-03,-5.542859667E-02
-1.4160E-03,-5.487239464E-02
-1.4140E-03,-5.531261078E-02
-1.4120E-03,-5.486652001E-02
-1.4100E-03,-5.607804898E-02
-1.4080E-03,-5.448974230E-02
-1.4060E-03,-5.408160777E-02
-1.4040E-03,-5.472480398E-02
-1.4020E-03,-5.449180223E-02
-1.4000E-03,-5.419042203E-02
-1.3980E-03,-5.401645273E-02
-1.3960E-03,-5.449420549E-02
-1.3940E-03,-5.392047493E-02
-1.3920E-03,-5.429875945E-02
-1.3900E-03,-5.468654256E-02
-1.3880E-03,-5.625260956E-02
-1.3860E-03,-5.285916876E-02
-1.3840E-03,-5.507445919E-02
-1.3820E-03,-5.505563365E-02
